country,fifarank,rating
[u'Italy'],[u'9'],[u'1115.0']
[u'Spain'],[u'1'],[u'1460.0']
[u'Argentina'],[u'7'],[u'1178.0']
[u'Mexico'],[u'19'],[u'877.0']
[u'Bolivia'],[u'68'],[u'497.0']
[u'Brazil'],[u'4'],[u'1210.0']
[u'Canada'],[u'110'],[u'272.0']
[u'Chile'],[u'13'],[u'1037.0']
[u'Colombia'],[u'5'],[u'1186.0']
[u'Ecuador'],[u'28'],[u'794.0']
[u'Paraguay'],[u'55'],[u'551.0']
[u'Peru'],[u'42'],[u'665.0']
[u'Uruguay'],[u'6'],[u'1181.0']
[u'Venezuela'],[u'41'],[u'666.0']
[u'Costa Rica'],[u'34'],[u'748.0']
[u'Honduras'],[u'30'],[u'759.0']
[u'Estonia'],[u'93'],[u'366.0']
[u'Cyprus'],[u'130'],[u'201.0']
[u'Faroe Islands'],[u'164'],[u'91.0']
[u'England'],[u'11'],[u'1043.0']
[u'Netherlands'],[u'15'],[u'967.0']
[u'Czech Republic'],[u'36'],[u'731.0']
[u'South Korea'],[u'55'],[u'551.0']
[u'Bosnia-Herzegovina'],[u'25'],[u'795.0']
[u'Malta'],[u'128'],[u'204.0']
[u'Russia'],[u'18'],[u'903.0']
[u'Greece'],[u'10'],[u'1082.0']
[u'Latvia'],[u'109'],[u'273.0']
[u'Ukraine'],[u'17'],[u'913.0']
[u'Finland'],[u'52'],[u'578.0']
[u'Belgium'],[u'12'],[u'1039.0']
[u'Lithuania'],[u'104'],[u'293.0']
[u'Israel'],[u'78'],[u'450.0']
[u'Bulgaria'],[u'73'],[u'460.0']
[u'Macedonia'],[u'80'],[u'443.0']
[u'Norway'],[u'55'],[u'551.0']
[u'Turkey'],[u'39'],[u'711.0']
[u'Sweden'],[u'25'],[u'795.0']
[u'South Africa'],[u'65'],[u'507.0']
[u'Slovakia'],[u'46'],[u'616.0']
[u'Iran'],[u'37'],[u'715.0']
[u'Iceland'],[u'58'],[u'546.0']
[u'Poland'],[u'72'],[u'479.0']
[u'Slovenia'],[u'29'],[u'787.0']
[u'Romania'],[u'32'],[u'756.0']
[u'Austria'],[u'40'],[u'673.0']
[u'Switzerland'],[u'8'],[u'1161.0']
[u'Republic of Ireland'],[u'66'],[u'504.0']
[u'Croatia'],[u'20'],[u'871.0']
[u'France'],[u'16'],[u'935.0']
[u'Denmark'],[u'23'],[u'819.0']
[u'Hungary'],[u'45'],[u'623.0']
[u'Germany'],[u'2'],[u'1340.0']
[u'Portugal'],[u'3'],[u'1245.0']
[u'Moldova'],[u'99'],[u'325.0']
[u'Wales'],[u'47'],[u'613.0']
[u'Armenia'],[u'33'],[u'750.0']
[u'Scotland'],[u'22'],[u'825.0']
[u'Azerbaijan'],[u'85'],[u'398.0']
[u'Luxembourg'],[u'112'],[u'266.0']
[u'Belarus'],[u'83'],[u'404.0']
[u'Georgia'],[u'103'],[u'303.0']
[u'Albania'],[u'70'],[u'486.0']
[u'Northern Ireland'],[u'84'],[u'400.0']
[u'Andorra'],[u'199'],[u'16.0']
[u'San Marino'],[u'207'],[u'0.0']
[u'Liechtenstein'],[u'150'],[u'139.0']
[u'Algeria'],[u'25'],[u'795.0']
[u'Japan'],[u'47'],[u'613.0']
[u'Australia'],[u'59'],[u'545.0']
[u'Angola'],[u'94'],[u'347.0']
[u'Senegal'],[u'63'],[u'511.0']
[u'Saudi Arabia'],[u'75'],[u'455.0']
[u'Cameroon'],[u'50'],[u'583.0']
[u'Nigeria'],[u'44'],[u'631.0']
[u'China'],[u'96'],[u'333.0']
[u'Tunisia'],[u'49'],[u'597.0']
[u'United States'],[u'14'],[u'1015.0']
[u'Kuwait'],[u'108'],[u'283.0']
[u'Jamaica'],[u'81'],[u'420.0']
[u'Hong Kong'],[u'158'],[u'111.0']
[u'Malaysia'],[u'145'],[u'149.0']
[u'Uzbekistan'],[u'53'],[u'577.0']
[u'Cape Verde Islands'],[u'42'],[u'665.0']
[u'Kazakhstan'],[u'118'],[u'235.0']
[u'Egypt'],[u'24'],[u'798.0']
[u'Libya'],[u'62'],[u'522.0']
[u'Trinidad and Tobago'],[u'74'],[u'457.0']
[u'Barbados'],[u'161'],[u'101.0']
[u'Antigua and Barbuda'],[u'142'],[u'158.0']
[u'Bahamas'],[u'186'],[u'40.0']
[u'Belize'],[u'144'],[u'152.0']
[u'Aruba'],[u'155'],[u'122.0']
[u'Bermuda'],[u'169'],[u'83.0']
[u'British Virgin Islands'],[u'197'],[u'18.0']
[u'US Virgin Islands'],[u'194'],[u'23.0']
[u'Cayman Islands'],[u'195'],[u'21.0']
[u'Cuba'],[u'90'],[u'371.0']
[u'Dominica'],[u'163'],[u'93.0']
[u'Dominican Republic'],[u'126'],[u'212.0']
[u'El Salvador'],[u'69'],[u'488.0']
[u'Grenada'],[u'136'],[u'188.0']
[u'Guatemala'],[u'124'],[u'223.0']
[u'Guyana'],[u'151'],[u'137.0']
[u'Haiti'],[u'77'],[u'452.0']
[u'Montserrat'],[u'188'],[u'33.0']
[u'Netherlands Antilles'],[u'157'],[u'128.0']
[u'Nicaragua'],[u'168'],[u'84.0']
[u'Panama'],[u'35'],[u'739.0']
[u'Puerto Rico'],[u'149'],[u'143.0']
[u'St. Lucia'],[u'133'],[u'191.0']
[u'St. Kitts and Nevis'],[u'153'],[u'124.0']
[u'St. Vincent and Grenadines'],[u'126'],[u'212.0']
[u'Suriname'],[u'131'],[u'197.0']
[u'Turks and Caicos Islands'],[u'207'],[u'0.0']
[u'New Zealand'],[u'111'],[u'271.0']
[u'Oman'],[u'82'],[u'418.0']
[u'Benin'],[u'97'],[u'332.0']
[u'Burkina Faso'],[u'61'],[u'528.0']
[u'Guinea'],[u'51'],[u'580.0']
[u'Kenya'],[u'106'],[u'284.0']
[u'Mali'],[u'59'],[u'545.0']
[u'Congo DR'],[u'88'],[u'380.0']
[u'Rwanda'],[u'131'],[u'197.0']
[u'Zimbabwe'],[u'98'],[u'327.0']
[u'Morocco'],[u'76'],[u'454.0']
[u'Jordan'],[u'64'],[u'510.0']
