country,spirank,rating,attack,defense
Italy,12,81.1,2.1,0.8
Spain,3,89.3,2.8,0.5
Argentina,2,90.2,2.9,0.4
Mexico,25,76.7,1.6,0.7
Bolivia,43,69.2,1.8,1.3
Brazil,1,91.8,3.4,0.5
Canada,97,54.5,0.8,1.4
Chile,5,87.2,2.8,0.7
Colombia,6,86.1,2.2,0.4
Ecuador,11,82.0,2.0,0.7
Paraguay,20,77.8,2.0,1.0
Peru,23,76.7,1.7,0.8
Uruguay,8,84.1,2.4,0.7
Venezuela,37,72.6,1.6,1.0
Costa Rica,24,76.7,1.4,0.6
Honduras,33,73.4,1.7,1.0
Estonia,119,47.5,0.8,1.8
Cyprus,123,45.7,0.6,1.7
Faroe Islands,153,33.7,0.5,2.5
England,9,83.2,2.2,0.7
Netherlands,10,82.3,2.4,0.9
Czech Republic,34,73.3,1.5,0.9
South Korea,31,73.5,1.7,1.0
Bosnia-Herzegovina,15,79.5,2.3,1.0
Malta,147,36.2,0.6,2.4
Russia,17,78.9,1.7,0.7
Greece,27,76.0,1.4,0.6
Latvia,112,50.3,1.0,1.9
Ukraine,18,78.8,1.7,0.7
Finland,47,68.8,1.4,1.1
Belgium,13,80.9,2.1,0.8
Lithuania,101,53.7,0.8,1.4
Israel,67,63.3,1.5,1.5
Bulgaria,50,67.6,1.2,1.0
Macedonia,74,60.7,1.0,1.3
Norway,70,61.8,1.3,1.4
Turkey,44,69.1,1.4,1.1
Sweden,29,75.3,2.1,1.2
South Africa,53,67.4,1.2,1.0
Slovakia,52,67.4,1.3,1.1
Iran,39,70.7,1.4,1.0
Iceland,73,61.2,1.5,1.6
Poland,58,65.7,1.3,1.2
Slovenia,56,66.5,1.4,1.2
Romania,45,68.9,1.6,1.2
Austria,35,73.1,1.6,1.0
Switzerland,22,77.4,2.0,1.0
Republic of Ireland,42,69.4,1.3,1.0
Croatia,30,75.2,1.7,0.9
France,7,85.3,2.4,0.6
Denmark,41,70.1,1.7,1.3
Hungary,75,60.6,1.5,1.6
Germany,4,88.7,3.1,0.7
Portugal,14,79.6,2.1,0.9
Moldova,110,50.6,0.9,1.7
Wales,66,63.4,1.4,1.4
Armenia,61,65.0,1.5,1.4
Scotland,48,68.5,1.4,1.1
Azerbaijan,96,54.7,0.8,1.3
Luxembourg,143,37.1,0.7,2.4
Belarus,60,65.2,1.3,1.2
Georgia,82,58.5,0.8,1.2
Albania,83,58.2,0.9,1.2
Northern Ireland,107,51.2,1.0,1.8
Andorra,181,22.3,0.0,2.7
San Marino,198,12.3,0.2,4.7
Liechtenstein,144,36.7,0.5,2.2
