country,spirank,rating,attack,defense
Algeria,69,62.9,1.1,1.2
Japan,36,72.7,1.9,1.2
Australia,40,70.2,1.7,1.3
Angola,76,60.5,1.0,1.2
Senegal,49,67.8,1.4,1.1
Saudi Arabia,78,60.0,1.1,1.4
Cameroon,38,71.0,1.5,1.0
Nigeria,28,75.9,1.7,0.9
China,88,57.1,1.0,1.4
Tunisia,57,65.8,1.4,1.2
United States,21,77.6,2.1,1.0
Kuwait,100,54.1,1.0,1.6
Jamaica,65,63.7,1.0,1.0
Hong Kong,176,23.7,0.2,2.9
Malaysia,172,25.4,0.4,3.0
Uzbekistan,54,66.9,1.1,1.0
Cape Verde Islands,99,54.2,1.0,1.6
Kazakhstan,115,49.0,0.8,1.7
Egypt,32,73.5,1.8,1.1
Libya,63,64.2,0.9,0.9
Trinidad and Tobago,91,56.6,1.1,1.6
Barbados,169,26.3,0.2,2.6
Antigua and Barbuda,133,41.7,0.8,2.2
Bahamas,186,17.4,0.5,4.3
Belize,151,34.4,0.6,2.5
Aruba,189,15.1,0.2,4.2
Bermuda,152,33.7,0.6,2.6
British Virgin Islands,215,1.6,0.0,7.9
US Virgin Islands,214,2.5,0.0,8.0
Cayman Islands,188,17.3,0.1,3.5
Cuba,139,39.4,0.7,2.2
Dominica,184,19.5,0.2,3.4
Dominican Republic,134,41.4,0.8,2.2
El Salvador,92,56.5,1.2,1.7
Grenada,157,31.5,0.6,2.8
Guatemala,77,60.4,1.2,1.4
Guyana,142,37.9,0.8,2.4
Haiti,113,50.2,0.7,1.5
Montserrat,213,3.0,0.0,8.8
Netherlands Antilles,163,30.3,0.3,2.4
Nicaragua,138,39.6,0.9,2.4
Panama,46,68.8,1.3,1.0
Puerto Rico,137,39.8,0.6,2.1
St. Lucia,193,13.9,0.3,4.7
St. Kitts and Nevis,158,31.1,0.3,2.3
St. Vincent and Grenadines,167,28.2,0.2,2.4
Suriname,159,30.8,0.6,2.8
Turks and Caicos Islands,208,4.7,0.0,5.5
New Zealand,72,61.5,1.1,1.2
Martinique,111,50.5,0.7,1.5
Oman,90,56.7,0.7,1.2
Benin,94,55.5,1.1,1.7
Burkina Faso,51,67.5,1.1,0.9
Guinea,59,65.5,1.4,1.2
Kenya,87,57.2,0.8,1.3
Mali,64,64.1,1.3,1.3
Congo DR,71,61.6,1.1,1.2
Rwanda,125,44.8,0.6,1.8
Zimbabwe,85,57.7,1.1,1.5
Morocco,62,64.9,1.4,1.3
Jordan,81,58.6,1.2,1.5
